Locality,Municipality,Property_Type,BHK,Carpet_Area_SqFt,Floor_No,Parking_Spaces,Age_Years,Price_Cr,Price_per_SqFt
Kharghar,NMMC,Standard,1,421,21,1,6,0.63,14964.37054631829
Mira Road,MBMC,Standard,1,437,36,1,7,0.63,14416.475972540045
Thane West,TMC,Standard,1,437,30,1,5,0.92,21052.63157894737
Worli,BMC,Standard,1,407,22,1,28,2.06,50614.25061425062
Kalyan,KDMC,Standard,2,728,3,1,4,0.62,8516.483516483517
Bandra West,BMC,Standard,2,734,4,1,24,3.66,49863.760217983654
Worli,BMC,Standard,1,479,20,1,27,2.42,50521.920668058454
Kharghar,NMMC,Standard,3,1152,14,1,16,1.42,12326.388888888889
Andheri West,BMC,Standard,2,966,4,1,21,2.31,23913.043478260868
Worli,BMC,Standard,3,1089,31,1,15,7.31,67125.80348943986
Thane West,TMC,Standard,2,778,21,1,15,1.33,17095.115681233932
Worli,BMC,Standard,2,946,29,1,14,6.34,67019.02748414376
Malabar Hill,BMC,Standard,2,956,8,1,23,6.77,70815.89958158995
Bandra West,BMC,Standard,2,764,5,1,9,4.77,62434.55497382198
Kharghar,NMMC,Standard,3,1263,12,1,1,1.87,14806.017418844021
Malabar Hill,BMC,Standard,1,386,35,1,11,4.14,107253.8860103627
Thane West,TMC,Standard,2,900,14,1,2,1.72,19111.11111111111
Malabar Hill,BMC,Standard,1,491,39,1,26,4.3,87576.37474541752
Kalyan,KDMC,Standard,1,473,13,1,18,0.36,7610.993657505285
Kharghar,NMMC,Standard,2,962,30,1,4,1.6,16632.01663201663
Kharghar,NMMC,Standard,2,756,36,1,12,1.19,15740.74074074074
Kharghar,NMMC,Standard,1,415,6,1,27,0.4,9638.55421686747
Andheri West,BMC,Luxury,5,3635,47,3,24,14.7,40440.16506189821
Kharghar,NMMC,Luxury,3,2928,32,2,8,4.71,16086.065573770491
Bandra West,BMC,Standard,2,972,37,1,0,8.98,92386.83127572016
Bandra West,BMC,Standard,1,408,32,1,23,2.63,64460.78431372549
Kalyan,KDMC,Standard,1,401,12,1,29,0.25,6234.413965087282
Kharghar,NMMC,Standard,1,462,17,1,26,0.5,10822.510822510823
Malabar Hill,BMC,Luxury,4,3768,51,2,0,65.33,173381.10403397027
Malabar Hill,BMC,Standard,1,417,11,1,23,3.04,72901.67865707434
Malabar Hill,BMC,Standard,1,465,34,1,5,5.36,115268.81720430107
Vashi,NMMC,Standard,1,446,9,1,27,0.66,14798.206278026906
Vashi,NMMC,Standard,3,1488,26,1,2,3.69,24798.387096774193
Bandra West,BMC,Standard,1,477,39,1,17,3.56,74633.12368972746
Thane West,TMC,Standard,1,391,35,1,6,0.85,21739.130434782608
Mira Road,MBMC,Luxury,3,1803,31,2,4,2.6,14420.410427066001
Borivali West,BMC,Luxury,5,3040,54,2,18,9.77,32138.157894736843
Bandra West,BMC,Luxury,4,2876,43,2,19,26.81,93219.74965229485
Malabar Hill,BMC,Standard,3,1299,35,1,15,13.15,101231.71670515781
Kalyan,KDMC,Standard,1,477,18,1,1,0.48,10062.893081761007
Vashi,NMMC,Standard,3,1251,33,1,13,2.84,22701.838529176657
Borivali West,BMC,Standard,1,485,7,1,2,1.06,21855.670103092783
Malabar Hill,BMC,Standard,2,928,22,1,22,7.59,81788.79310344828
Vashi,NMMC,Standard,3,1374,8,1,26,2.04,14847.161572052402
Worli,BMC,Standard,2,920,33,1,4,7.29,79239.13043478261
Bandra West,BMC,Standard,2,732,28,1,29,4.11,56147.54098360656
Borivali West,BMC,Luxury,3,1908,48,3,16,6.06,31761.00628930817
Borivali West,BMC,Standard,3,1395,21,1,22,2.62,18781.36200716846
Malabar Hill,BMC,Standard,1,374,31,1,21,3.35,89572.19251336898
Mira Road,MBMC,Luxury,4,3516,51,3,14,5.13,14590.443686006825
Vashi,NMMC,Standard,1,479,26,1,16,0.98,20459.29018789144
Thane West,TMC,Standard,2,776,29,1,9,1.54,19845.360824742267
Kharghar,NMMC,Standard,1,362,7,1,24,0.37,10220.99447513812
Andheri West,BMC,Standard,2,986,14,1,11,2.99,30324.543610547673
Bandra West,BMC,Standard,1,415,32,1,22,2.72,65542.1686746988
Vashi,NMMC,Standard,1,474,22,1,25,0.82,17299.57805907173
Mira Road,MBMC,Standard,1,419,15,1,21,0.41,9785.202863961813
Borivali West,BMC,Standard,2,914,5,1,6,1.87,20459.51859956236
Andheri West,BMC,Luxury,4,2584,59,2,19,12.29,47561.919504643956
Worli,BMC,Standard,1,494,19,1,27,2.47,50000.00000000001
Mira Road,MBMC,Standard,1,466,23,1,8,0.6,12875.536480686695
Borivali West,BMC,Standard,3,1149,32,1,29,2.09,18189.730200174065
Vashi,NMMC,Standard,2,932,1,1,15,1.6,17167.38197424893
Kharghar,NMMC,Standard,2,884,3,1,11,1.07,12104.072398190045
Mira Road,MBMC,Standard,2,756,14,1,27,0.67,8862.433862433862
Borivali West,BMC,Standard,1,493,26,1,25,0.92,18661.25760649087
Borivali West,BMC,Standard,1,450,23,1,25,0.82,18222.22222222222
Mira Road,MBMC,Luxury,4,3116,29,2,25,3.25,10430.038510911425
Bandra West,BMC,Standard,3,1254,4,1,15,7.2,57416.267942583734
Thane West,TMC,Luxury,4,3932,46,3,19,7.7,19582.90946083418
Thane West,TMC,Standard,2,764,33,1,28,1.17,15314.13612565445
Bandra West,BMC,Luxury,5,3320,59,2,9,39.91,120210.84337349396
Worli,BMC,Standard,2,860,26,1,7,6.2,72093.02325581395
Mira Road,MBMC,Standard,1,464,7,1,3,0.55,11853.448275862069
Mira Road,MBMC,Standard,2,938,36,1,24,1.05,11194.029850746268
Borivali West,BMC,Luxury,4,3824,43,2,2,14.16,37029.28870292887
Malabar Hill,BMC,Standard,1,445,24,1,22,3.7,83146.06741573034
Borivali West,BMC,Standard,2,744,25,1,2,1.92,25806.451612903227
Kalyan,KDMC,Standard,2,866,25,1,21,0.7,8083.140877598153
Bandra West,BMC,Standard,1,496,12,1,8,3.36,67741.93548387097
Kharghar,NMMC,Luxury,5,4915,38,3,25,6.41,13041.709053916582
Borivali West,BMC,Standard,2,944,21,1,3,2.32,24576.271186440677
Borivali West,BMC,Standard,2,916,39,1,13,2.28,24890.82969432314
Mira Road,MBMC,Standard,3,1272,18,1,14,1.44,11320.754716981131
Kalyan,KDMC,Standard,2,712,13,1,7,0.63,8848.314606741573
Mira Road,MBMC,Standard,3,1062,29,1,4,1.5,14124.293785310734
Vashi,NMMC,Luxury,3,2760,36,3,6,7.05,25543.478260869564
Kalyan,KDMC,Standard,1,368,39,1,26,0.31,8423.91304347826
Mira Road,MBMC,Luxury,5,3625,32,2,17,4.4,12137.931034482759
Mira Road,MBMC,Standard,2,952,39,1,0,1.53,16071.42857142857
Bandra West,BMC,Standard,3,1386,25,1,23,8.43,60822.51082251082
Malabar Hill,BMC,Standard,3,1179,32,1,12,12.18,103307.88804071247
Borivali West,BMC,Standard,3,1488,20,1,24,2.68,18010.752688172044
Worli,BMC,Standard,1,492,31,1,0,4.03,81910.56910569106
Borivali West,BMC,Standard,1,361,10,1,15,0.68,18836.565096952912
Thane West,TMC,Standard,1,466,8,1,25,0.6,12875.536480686695
Andheri West,BMC,Standard,1,377,28,1,4,1.41,37400.53050397878
Kalyan,KDMC,Standard,2,988,9,1,0,0.92,9311.74089068826
Borivali West,BMC,Luxury,3,2988,54,3,28,8.13,27208.835341365466
Vashi,NMMC,Luxury,3,2706,21,2,9,5.88,21729.490022172948
Thane West,TMC,Luxury,5,4820,52,2,21,9.54,19792.531120331947
Malabar Hill,BMC,Standard,3,1080,21,1,25,8.33,77129.62962962964
Kalyan,KDMC,Luxury,5,3880,52,2,1,5.07,13067.01030927835
Kalyan,KDMC,Standard,1,404,6,1,27,0.25,6188.118811881188
Malabar Hill,BMC,Standard,2,704,23,1,4,7.51,106676.13636363637
Borivali West,BMC,Luxury,4,2728,40,2,13,8.55,31341.642228739
Kalyan,KDMC,Standard,3,1059,1,1,16,0.77,7271.010387157696
Thane West,TMC,Standard,1,421,39,1,25,0.71,16864.608076009503
Mira Road,MBMC,Standard,2,944,12,1,0,1.21,12817.796610169491
Vashi,NMMC,Luxury,4,3284,36,2,15,7.41,22563.94640682095
Kharghar,NMMC,Standard,2,830,11,1,18,0.97,11686.746987951807
Kharghar,NMMC,Standard,1,387,34,1,17,0.56,14470.2842377261
Bandra West,BMC,Luxury,3,2295,43,2,14,23.06,100479.30283224401
Kharghar,NMMC,Standard,2,756,4,1,9,0.94,12433.862433862434
Thane West,TMC,Luxury,3,2817,24,3,1,5.96,21157.259495917642
Vashi,NMMC,Standard,1,392,11,1,18,0.68,17346.938775510207
Kalyan,KDMC,Standard,2,934,16,1,7,0.85,9100.642398286938
Andheri West,BMC,Standard,1,445,3,1,26,0.98,22022.47191011236
Worli,BMC,Standard,1,370,5,1,17,1.91,51621.62162162162
Mira Road,MBMC,Standard,1,350,5,1,8,0.38,10857.142857142857
Mira Road,MBMC,Luxury,3,2031,46,3,8,3.11,15312.653865091088
Mira Road,MBMC,Standard,2,810,30,1,10,1.07,13209.876543209877
Malabar Hill,BMC,Standard,3,1386,35,1,28,11.37,82034.63203463203
Andheri West,BMC,Standard,1,363,26,1,27,0.95,26170.798898071625
Kharghar,NMMC,Standard,2,726,7,1,2,1.01,13911.845730027548
Kharghar,NMMC,Standard,2,734,38,1,2,1.33,18119.891008174385
Bandra West,BMC,Standard,1,377,10,1,6,2.57,68169.76127320954
Kalyan,KDMC,Luxury,4,2900,44,3,16,2.93,10103.448275862069
Andheri West,BMC,Standard,1,458,18,1,14,1.38,30131.004366812223
Andheri West,BMC,Standard,2,714,19,1,9,2.32,32492.99719887955
Kalyan,KDMC,Standard,3,1239,34,1,26,0.99,7990.3147699757865
Thane West,TMC,Standard,1,470,33,1,20,0.82,17446.808510638297
Vashi,NMMC,Standard,1,461,4,1,29,0.63,13665.943600867678
Thane West,TMC,Luxury,5,4930,50,2,7,11.79,23914.807302231235
Borivali West,BMC,Luxury,5,3025,39,3,27,7.54,24925.619834710742
Andheri West,BMC,Standard,3,1329,38,1,18,4.43,33333.333333333336
Kalyan,KDMC,Standard,2,750,5,1,5,0.63,8400.0
Mira Road,MBMC,Standard,2,738,12,1,14,0.79,10704.607046070461
Malabar Hill,BMC,Standard,1,386,11,1,3,3.75,97150.25906735752
Bandra West,BMC,Standard,1,359,5,1,22,1.85,51532.03342618384
Mira Road,MBMC,Luxury,3,2301,39,3,0,3.7,16079.965232507606
Borivali West,BMC,Standard,1,492,24,1,5,1.21,24593.49593495935
Kharghar,NMMC,Standard,1,418,14,1,20,0.48,11483.253588516747
Thane West,TMC,Luxury,4,2700,54,2,0,7.24,26814.814814814814
Thane West,TMC,Standard,1,442,8,1,10,0.72,16289.592760180996
Kalyan,KDMC,Standard,2,768,21,1,4,0.76,9895.833333333334
Borivali West,BMC,Standard,2,822,4,1,24,1.29,15693.430656934306
Mira Road,MBMC,Standard,3,1164,14,1,18,1.19,10223.367697594502
Vashi,NMMC,Standard,2,988,33,1,14,2.21,22368.42105263158
Kharghar,NMMC,Standard,1,453,39,1,18,0.67,14790.28697571744
Vashi,NMMC,Luxury,5,3890,34,3,14,8.77,22544.987146529562
Malabar Hill,BMC,Standard,3,1161,33,1,28,9.37,80706.28768303186
Borivali West,BMC,Standard,1,435,2,1,9,0.85,19540.22988505747
Borivali West,BMC,Luxury,3,2151,32,3,14,6.25,29056.25290562529
Andheri West,BMC,Standard,2,728,29,1,7,2.65,36401.0989010989
Borivali West,BMC,Standard,2,958,27,1,18,2.02,21085.594989561585
Bandra West,BMC,Standard,2,752,5,1,19,4.06,53989.36170212765
Mira Road,MBMC,Standard,1,372,26,1,13,0.46,12365.591397849463
Mira Road,MBMC,Standard,2,920,12,1,11,1.03,11195.652173913044
Andheri West,BMC,Luxury,3,2925,27,2,9,12.73,43521.36752136752
Malabar Hill,BMC,Standard,2,800,29,1,13,7.95,99375.0
Thane West,TMC,Luxury,5,4280,56,3,20,8.84,20654.205607476637
Mira Road,MBMC,Luxury,4,3648,59,2,14,5.61,15378.28947368421
Borivali West,BMC,Standard,2,812,26,1,8,1.95,24014.778325123152
Bandra West,BMC,Standard,2,848,38,1,1,7.8,91981.1320754717
Kharghar,NMMC,Standard,2,732,24,1,24,0.87,11885.245901639344
Kharghar,NMMC,Standard,1,378,22,1,25,0.43,11375.661375661375
Worli,BMC,Standard,1,433,20,1,21,2.42,55889.1454965358
Vashi,NMMC,Standard,3,1194,7,1,0,2.56,21440.536013400335
Kharghar,NMMC,Standard,2,822,32,1,29,0.95,11557.177615571776
Malabar Hill,BMC,Standard,2,736,18,1,0,7.9,107336.95652173914
Bandra West,BMC,Standard,2,924,30,1,5,7.6,82251.08225108225
Bandra West,BMC,Standard,1,404,39,1,2,3.7,91584.15841584158
Mira Road,MBMC,Standard,2,946,33,1,22,1.07,11310.782241014798
Kharghar,NMMC,Standard,2,884,8,1,0,1.27,14366.515837104072
Kalyan,KDMC,Standard,1,421,37,1,2,0.49,11638.95486935867
Bandra West,BMC,Standard,1,384,32,1,23,2.47,64322.91666666668
Thane West,TMC,Luxury,3,2343,33,2,22,3.97,16944.08877507469
Worli,BMC,Standard,1,434,19,1,15,2.64,60829.4930875576
Bandra West,BMC,Standard,2,702,1,1,14,4.09,58262.10826210826
Borivali West,BMC,Standard,1,479,3,1,22,0.78,16283.9248434238
Kharghar,NMMC,Standard,2,972,34,1,20,1.33,13683.127572016461
Bandra West,BMC,Luxury,4,3852,36,3,9,39.38,102232.60643821392
Thane West,TMC,Luxury,5,3635,36,3,17,6.82,18762.03576341128
Bandra West,BMC,Standard,2,748,39,1,8,6.34,84759.35828877005
Vashi,NMMC,Standard,2,756,34,1,22,1.51,19973.544973544973
Borivali West,BMC,Standard,3,1302,36,1,8,3.39,26036.866359447005
Vashi,NMMC,Standard,2,942,12,1,22,1.56,16560.509554140128
Borivali West,BMC,Standard,1,406,31,1,5,1.06,26108.374384236453
Thane West,TMC,Standard,2,804,7,1,9,1.32,16417.910447761195
Malabar Hill,BMC,Standard,1,471,2,1,27,3.02,64118.895966029726
Vashi,NMMC,Standard,1,385,26,1,28,0.65,16883.116883116883
Borivali West,BMC,Luxury,5,3815,58,2,7,14.7,38532.11009174312
Bandra West,BMC,Luxury,5,3550,41,3,4,40.22,113295.77464788733
Thane West,TMC,Standard,1,497,19,1,2,1.0,20120.72434607646
Andheri West,BMC,Standard,2,916,34,1,8,3.42,37336.24454148472
Mira Road,MBMC,Standard,1,389,17,1,0,0.52,13367.609254498715
Kalyan,KDMC,Standard,2,748,39,1,2,0.88,11764.70588235294
Bandra West,BMC,Standard,1,451,34,1,11,3.53,78270.50997782705
Bandra West,BMC,Standard,3,1194,17,1,9,8.35,69932.99832495813
Kalyan,KDMC,Standard,1,411,16,1,23,0.3,7299.270072992701
Bandra West,BMC,Standard,3,1401,16,1,5,10.23,73019.27194860813
Thane West,TMC,Standard,2,984,26,1,8,1.94,19715.447154471545
Mira Road,MBMC,Standard,2,988,23,1,25,0.98,9919.028340080971
Borivali West,BMC,Standard,1,428,7,1,8,0.87,20327.10280373832
Bandra West,BMC,Luxury,4,3656,48,2,17,36.41,99589.71553610501
Andheri West,BMC,Luxury,4,2808,33,2,23,10.41,37072.64957264957
Bandra West,BMC,Standard,2,960,37,1,10,7.81,81354.16666666667
Thane West,TMC,Standard,2,776,15,1,23,1.11,14304.12371134021
Malabar Hill,BMC,Standard,2,980,18,1,0,10.52,107346.9387755102
Mira Road,MBMC,Luxury,4,3640,53,2,29,4.21,11565.934065934065
Kharghar,NMMC,Standard,1,445,35,1,26,0.56,12584.26966292135
Kharghar,NMMC,Standard,1,411,16,1,23,0.46,11192.214111922141
Kalyan,KDMC,Standard,2,904,20,1,4,0.89,9845.132743362832
Malabar Hill,BMC,Standard,1,491,30,1,17,4.64,94501.0183299389
Andheri West,BMC,Standard,2,844,15,1,16,2.4,28436.018957345972
Kalyan,KDMC,Standard,1,386,37,1,10,0.4,10362.694300518135
Vashi,NMMC,Luxury,5,4505,30,3,29,7.71,17114.31742508324
Worli,BMC,Standard,3,1224,8,1,19,6.33,51715.686274509804
Vashi,NMMC,Standard,2,846,34,1,24,1.63,19267.139479905436
Mira Road,MBMC,Standard,3,1407,6,1,4,1.62,11513.859275053306
